id|name|country
105|HUBER, Sebastian|GER
106|KILIAN, Hanns|GER
107|KREMPL, Valentin|GER
108|NAGLE, Hanns|GER
109|FISKE, William|USA
110|GRAY, Clifford Barton|USA
111|MASON, Geoffrey Travers|USA
112|PARKE, Richard|USA
113|TUCKER, Nion|USA
114|DOE, Thomas|USA
115|GRANGER, David|USA
116|HEATON, Jennison|USA
117|HINE, Lyman|USA
118|O''BRIEN, Jay James|USA
119|NORTHESK, David, Earl of|GBR
120|HEATON, John|USA
121|ANDREOSSI, Giannin|SUI
122|ANDREOSSI, Mezzi|SUI
123|BREITER, Robert|SUI
124|DUFOUR, Louis|SUI
125|FASEL, Charles|SUI
126|GEROMINI, Albert|SUI
127|KRAATZ, Fritz|SUI
128|MARTIGNONI, Arnold|SUI
129|MENG, Heini|SUI
130|MOROSANI, Anton|SUI
131|RUEDI, Luzius|SUI
132|TORRIANI, Richard|SUI
133|DELAHAY, Charles|CAN
134|FISHER, Franlyn Wood|CAN
135|HUDSON, Henry Louis|CAN
136|MUELLER, Norbert Edward|CAN
137|PLAXTON, Herbert Alfred|CAN
138|PLAXTON, Hugh John|CAN
139|PLAXTON, Rogers Hayward|CAN
140|PORTER, John Chester|CAN
141|SULLIVAN, Frank Gerald|CAN
142|SULLIVAN, Joseph Taylor|CAN
143|TAYLOR, Ross Croft|CAN
144|TROTTIER, David|CAN
145|ABRAHAMSSON, Carl|SWE
146|BERGMAN, Emil|SWE
147|HOLMQVIST, Birger|SWE
148|JOHANSSON, Gustaf|SWE
149|JOHANSSON, Henry|SWE
150|JOHANSSON, Nils|SWE
151|KARLBERG, Ernst|SWE
152|LARSSON, Erik|SWE
153|LINDE, Bertil|SWE
154|OBERG, Sigfrid|SWE
155|PETERSEN, Wilhelm|SWE
156|SUCKSDORFF, Kurt|SWE
157|VAN ZEEBROECK, Robert|BEL
158|HENIE, Sonja|NOR
159|BURGER, Fritzi|AUT
160|BRUNNER, Melitta|AUT
161|WREDE, Ludwig|AUT
162|KAISER, Otto|AUT
163|SCHOLZ, Lilly|AUT
164|BALLANGRUD, Ivar|NOR
165|EVENSEN, Bernt|NOR
166|FRIMAN, Jaakko|FIN
167|FARRELL, John O|USA
168|ODEGAARD, Reidar|NOR
169|HEGGE, Ole|NOR
170|ANDERSSON, Volger|SWE
171|HEDLUND, Per Erik|SWE
172|JONSSON, Gustav|SWE
173|SNERSRUD, John|NOR
174|VINJARENGEN, Hans|NOR
175|BURKERT, Rudolf|TCH
176|ANDERSEN, Alf|NOR
177|RUUD, Sigmund|NOR
178|BREHME, Albert|GER
179|GRAU, Fritz|GER
180|HOPMANN, Helmut|GER
181|HUTH, Werner|GER
182|KROTKI, Rudolf|GER
183|LUDWIG, Max|GER
184|MEHLHHORN, Hans|GER
185|ROSSNER, Heinrich|GER
186|ZAHN, Werner|GER
187|EAGAN, Edward|USA
188|STEVENS, J. Hubert|USA
189|ASHFORTH, Albert|USA
190|BRYANT, Precy D.|USA
191|GOODRICH, Hunter|USA
192|HACKNEY, Clement|USA
193|HOMBURGER, Henry A.|USA
194|HORTON, Edmund C|USA
195|LIPSON, Howard S|USA
196|MARTIN, Harry G|USA
197|STEVENS, Curtis|USA
198|STEVENS, Francis Paul|USA
199|MINTON, Robert|USA
200|ARTHUR, Adams|USA
201|CAPADRUTT, Reto|SUI
202|FONJALLAZ, Gaston|SUI
203|FONJALLAZ, Gustave|SUI
204|FONJALLAZ, Rene|SUI
205|GEIER, Oscar|SUI
206|JENNY, Charles|SUI
207|KLOETTA, Antoine|SUI
208|STAUFFER, William|SUI
209|BALL, Rudolf|GER
210|HEINRICH, Alfred|GER
211|HERKER, Erich|GER
212|JANECKE, Gustav|GER
213|KORFF, Werner|GER
214|LEINWEBER, Walter|GER
215|ROMER, Erich|GER
216|SCHROTTLE, Martin|GER
217|SLEVOGT, Marquardt|GER
218|STROBL, Georg|GER
219|COCKBURN, William George|CAN
220|CROWLEY, Clifford|CAN
221|DUNCANSON, Albert|CAN
222|GARBUTT, George|CAN
223|HINKEL, Roy|CAN
224|LINDQUIST, C. Victor|CAN
225|MALLOY, Norman|CAN
226|MONSON, Walter|CAN
227|MOORE, Kenneth|CAN
228|RIVERS, N.Romeo|CAN
229|SIMPSON, Harold|CAN
230|SUTHERLAND, Hugh|CAN
231|WAGNER, W. Stanley|CAN
232|WISE, J. Alliston|CAN
233|ANDERSON, Osborn|USA
234|BENT, John Peale|USA
235|CHASE, John Pierce|USA
236|COOKMAN, John Emery|USA
237|EVERETT, Douglas Newton|USA
238|FARRELL, Franklin|USA
239|FITZGERALD, Joseph|USA
240|FRAZIER, Edward Hartwell|USA
241|GARRISON, John Bright|USA
242|HALLOCK, Gerard|USA
243|LIVINGSTON, Robert Cambridge|USA
244|NELSON, Francis Augustus|USA
245|PALMER, Winthrop Hale|USA
246|SMITH, Gordon|USA
247|WILSON, Montgomery|CAN
248|SCHAFER, Karl|AUT
249|VINSON, Maribel|USA
250|ROTTER, Emilia|HUN
251|SZOLLAS, Laszlo|HUN
252|BADGER, Sherwin|USA
253|STACK, Frank|CAN
254|JAFFEE, Irving|USA
255|LOGAN, William F.|CAN
256|SHEA, John A.|USA
257|HURD, Alexander|CAN
258|MURPHY, Edward|USA
259|SAARINEN, Veli|FIN
260|UTTERSTROM, Sven|SWE
261|WIKSTROM, Axel|SWE
262|RUSTADSTUEN, Arne|NOR
263|LIIKKANEN, Vaino|FIN
264|STENEN, Ole|NOR
265|WALBERG, Kaare|NOR
266|RUUD, Birger|NOR
267|BECK, Hans|NOR
268|CARDNO, James Farquhar|GBR
269|DUGDALE, Gary|GBR
270|GREEN, Charles Patrick|GBR
271|MCEVOY, Frederick James|GBR
272|BEERLI, Joseph|SUI
273|BOUVIER, Charles|SUI
274|GARTMANN, Arnold|SUI
275|MUSY, Pierre|SUI
276|AICHELE, Hans|SUI
277|BUTIKOFER, Hans|SUI
278|FEIERABEND, Fritz|SUI
279|COLGATE, Gilbert|USA
280|LAWRENCE, Richard Webster|USA
281|BROWN, Ivan Elmore|USA
282|WASHBOND, Alan M.|USA
283|KAMMER, August|USA
284|LA BATTE, Philip William|USA
285|LAX, John Charles|USA
286|MOONE, Thomas|USA
287|ROSS, Eldridge Baker|USA
288|ROWE, Paul Edward|USA
289|SHAUGHNESSY, Francis John|USA
290|SPAIN, Francis Jones|USA
291|STUBBS, Frank Raymond|USA
292|ARCHER, Alexander|GBR
293|BORLAND, James Andrew|GBR
294|BRENCHLEY, Edgar|GBR
295|CHAPPELL, James|GBR
296|COWARD, John|GBR
297|DAILLEY, Gordon Debenham|GBR
298|DAVEY, John Gerald|GBR
299|ERHARDT, Carl|GBR
300|FOSTER, James|GBR
301|KILPATRICK, John|GBR
302|STINCHCOMBE, Archibald|GBR
303|WYMAN, Robert|GBR
304|DEACON, Maxwell Arnold|CAN
305|FARGUHARSON, Hugh|CAN
306|FARMER-HORN, Kenneth|CAN
307|HAGGARTY, James|CAN
308|KITCHEN, Walter|CAN
309|MILTON, Raymond|CAN
310|MOORE, Francis|CAN
311|MURRAY, Herman|CAN
312|NASH, Arthur|CAN
313|NEVILLE, David John|CAN
314|SINCLAIR, Alexander|CAN
315|ST.GERMAIN, Ralph|CAN
316|THOMSON, William|CAN
317|KASPAR, Felix|AUT
318|BAIER, Ernst|GER
319|HULTEN, Vivi-Anne|SWE
320|COLLEDGE, Cecilia|GBR
321|HERBER, Maxi|GER
322|PAUSIN, Erik|AUT
323|PAUSIN, Ilse|AUT
324|STIEPL, Max|AUT
325|WASENIUS, Birger|FIN
326|MATHISEN, Charles|NOR
327|OJALA, Antero|FIN
328|FREISINGER, Leo|USA
329|KROG, Georg|NOR
330|ALLAIS, Emile|FRA
331|PFNUR, Franz|GER
332|LANTSCHNER, Gustav|GER
333|SCHOU-NILSEN, Laila|NOR
334|CRANZ, Christel|GER
335|GRASEGGER, Kathe|GER
336|NIEMI, Pekka|FIN
337|LARSSON, Erik August|SWE
338|HAGEN, Oddbjorn|NOR
339|BERGER, John|SWE
340|HAGGBLAD, Artur|SWE
341|MATSBO, Martin|SWE
342|JALKANEN, Kalle|FIN
343|KARPPINEN, Klaus|FIN
344|LAHDE, Matti|FIN
345|NURMELA, Sulo|FIN
346|BRODAHL, Sverre|NOR
347|HOFFSBAKKEN, Olaf|NOR
348|IVERSEN, Bjarne|NOR
349|ENGLUND, Nils-Joel|SWE
350|WIKLUND, Elis|SWE
351|ANDERSEN, Reidar|NOR
352|ERIKSSON, Sven|SWE
353|BICKFORD, James John|USA
354|DUPREE, Donald|USA
355|DUPREE, William|USA
356|HICKS, Thomas|USA
357|D''AMICO, William|USA
358|MARTIN, Patrick Henry|USA
359|RIMKUS, Edward|USA
360|TYLER, Francis William|USA
361|HOUBEN, Max|BEL
362|MANSVELD, Freddy|BEL
363|MOUVET, Jacques|BEL
364|NIELS, Louis-Georges|BEL
365|CARRON, Schuyler|USA
366|FORTUNE, Frederick Joseph|USA
367|ENDRICH, Felix|SUI
368|WALLER, Friedrich|SUI
369|EBERHARD, Paul Hans|SUI
370|CRAMMOND, John|GBR
371|BIBBIA, Nino|ITA
372|BANNINGER, Hans|SUI
373|BIELER, Alfred|SUI
374|BOLLER, Heinrich|SUI
375|CATTINI, Ferdinand|SUI
376|CATTINI, Hans|SUI
377|DURST, Hans|SUI
378|DURST, Walter Paul|SUI
379|HANDSCHIN, Emil|SUI
380|LOHRER, Heini|SUI
381|LOHRER, Werner|SUI
382|PERL, Reto|SUI
383|POLTERA, Gebhard|SUI
384|POLTERA, Ulrich|SUI
385|RUEDI, Beat|SUI
386|SCHUBIGER, Otto|SUI
387|TREPP, Hans|SUI
388|BROOKS, H.|CAN
389|DOWEY, Murray Albert|CAN
390|DUNSTER, Bernard Frank|CAN
391|FORBES, R.A.|CAN
392|GILPIN, A.|CAN
393|GRAVELLE, Jean Orval|CAN
394|GUZZO, Patrick|CAN
395|HALDER, Walter Edwin|CAN
396|HIBBERD, Thomas Edward|CAN
397|KING, Ross|CAN
398|LAPERRIERE, Henri-Andre|CAN
399|LECOMPTE, John Howard|CAN
400|LEICHNITZ, J.|CAN
401|MARA, George Edward|CAN
402|RENAUD, Albert Romeo|CAN
403|SCHROETER, Reginald John|CAN
404|TAYLOR, Irving|CAN
405|BOUZEK, Vladimir|TCH
406|BUBNIK, Gustav|TCH
407|DROBNY, Jaroslav|TCH
408|HAJNY, Premysl|TCH
409|JARKOVSKY, Zdenek|TCH
410|KOBRANOV, Vladimir|TCH
411|KONOPASEK, Stanislav|TCH
412|MODRY, Bohumil|TCH
413|POKORNY, Miloslav|TCH
414|ROZINAK, Vaclav|TCH
415|SLAMA, Miroslav|TCH
416|STIBOR, Karel|TCH
417|STOVIK, Vilibald|TCH
418|TROJAK, Ladislav|TCH
419|TROUSILEK, Josef|TCH
420|ZABRODSKY, Oldrich|TCH
421|ZABRODSKY, Vladimir|TCH
422|RADA, Edi|AUT
423|BUTTON, Richard|USA
424|GERSCHWILER, Hans|SUI
425|ALTWEGG, Jeannette|GBR
426|SCOTT, Barbara Ann|CAN
427|PAWLIK, Eva|AUT
428|DIESTELMEYER, Wallace|CAN
429|MORROW, Suzanne|CAN
430|BAUGNIET, Pierre|BEL
431|LANNOY, Micheline|BEL
432|KEKESSY, Andrea|HUN
433|KIRALY, Ede|HUN
434|LAMMIO, Pentti|FIN
435|SEYFFARTH, Ake|SWE
436|PARKKINEN, Lauri|FIN
437|LUNDBERG, Odd|NOR
438|FARSTAD, Sverre|NOR
439|HEDLUND, Gothe|SWE
440|LIAKLEV, Reidar|NOR
441|HELGESEN, Finn|NOR
442|BYBERG, Thomas|NOR
443|BARTHELOMEW, Kenneth|USA
444|FITZGERALD, Robert|USA
445|COUTTET, James|FRA
446|OREILLER, Henri|FRA
447|MOLITOR, Karl|SUI
448|MAHRINGER, Erika|AUT
449|BEISER-JOCHUM, Trude|AUT
450|FRASER, Gretchen|USA
451|OLINGER, Rolf|SUI
452|GABL, Franz|AUT
453|HAMMERER, Resi|AUT
454|SCHLUNEGGER, Hedy|SUI
455|REINALTER, Edi|SUI
456|MEYER, Antoinette|SUI
457|ERIKSSON, Gunnar|SWE
458|LUNDSTROM, Martin|SWE
459|OSTENSSON, Nils|SWE
460|EVENSEN, Erling|NOR
461|HAGEN, Olav I.|NOR
462|NYBORG, Reidar|NOR
463|OKERN, Olav|NOR
464|TAPP, Nils|SWE
465|KIURU, August|FIN
466|LAUKKANEN, Teuvo|FIN
467|RYTKY, Sauli|FIN
468|SILVENNOINEN, Lauri|FIN
469|VANNINEN, Benjamin|FIN
470|KARLSSON, Nils|SWE
471|ERIKSSON, Harald|SWE
472|ISRAELSSON, Sven|SWE
473|HASU, Heikki|FIN
474|HUHTALA, Martti|FIN
475|SCHJELDERUP, Thorleif|NOR
476|HUGSTED, Petter|NOR
477|FILIPPINI, Andre|SUI
478|MADORIN, Albert|SUI
479|WASER, Stephan|SUI
480|KEMSER, Franz|FRG
481|KUHN, Friedrich|FRG
482|NIEBERL, Lorenz|FRG
483|OSTLER, Andreas|FRG
484|ATKINSON, James Neil|USA
485|BENHAM, Stanley Delong|USA
486|CROSSETT, Howard Wallace|USA
487|ALMQVIST, Gote|SWE
488|ANDERSSON, Ake|SWE
489|ANDERSSON-TVILLING, Hans Lennart|SWE
490|ANDERSSON-TVILLING, Stig Gunnar|SWE
491|BJORN, Lars Gunnar|SWE
492|BLOMQVIST, GAte|SWE
493|FLODQVIST, Thord|SWE
494|JOHANSSON, Erik|SWE
495|JOHANSSON, Gosta|SWE
496|JOHANSSON, Rune|SWE
497|JOHANSSON-TUMBA, Sven Olof|SWE
498|LASSAS, Erik Ake|SWE
499|NURMELA, Holger|SWE
500|OBERG, Hans Andreas|SWE
501|PETTERSSON, Lars|SWE
502|SVENSSON, Lars Ake|SWE
503|THUNMAN, Sven|SWE
504|ABEL, George Gordon|CAN
505|DAVIES, John Francis|CAN
506|DAWE, Billie|CAN
507|DICKSON, Robert Bruce|CAN
508|GAUF, Donald Valentine|CAN
509|GIBSON, William James|CAN
510|HANSCH, Ralph Lawrence|CAN
511|MEYERS, Robert Roderick|CAN
512|MILLER, David Engelberg|CAN
513|PATERSON, Eric Evan|CAN
514|POLLOCK, Thomas Allen|CAN
515|PURVIS, Alan Ruggles|CAN
516|ROBERTSON, Gordon|CAN
517|SECCO, Louis John|CAN
518|SULLIVAN, Francis Cornelius|CAN
519|WATT, Robert|CAN
520|BJORKMAN, Ruben Eugene|USA
521|CEGLARSKI, Leonard Stanley|USA
522|CZARNOTA, Joseph John|USA
523|DESMOND, Richard Joseph|USA
524|GAMBUCCI, Andre Peter|USA
525|HARRISON, Clifford|USA
526|KILMARTIN, Gerald Walsh|USA
527|MULHERN, John Francis|USA
528|NOAH, John Michael|USA
529|OSS, Arnold Carl|USA
530|ROMPRE, Robert Edward|USA
531|SEDIN, James Walter|USA
532|VAN ALLEN, Alfred|USA
533|WHISTON, Donald Francis|USA
534|YACKEL, Kenneth James|USA
535|GROGAN, James|USA
536|SEIBT, Hellmut|AUT
537|DU BIEF, Jacqueline|FRA
538|ALBRIGHT, Tenley|USA
539|NAGY, Laszlo|HUN
540|NAGY, Marianna|HUN
541|FALK, Paul|FRG
542|FALK, Ria|FRG
543|KENNEDY, Karol|USA
544|KENNEDY, Michael|USA
545|ASPLUND, Carl-Erik|SWE
546|ANDERSEN, Hjalmar|NOR
547|BROEKMAN, Cornelis|NED
548|AAS, Roald|NOR
549|VAN DER VOORT, Willem|NED
550|HAUGLI, Sverre|NOR
551|AUDLEY, Gordon|CAN
552|JOHANSEN, Arne|NOR
553|HENRY, Kenneth|USA
554|MCDERMOTT, Donald|USA
555|PRAVDA, Christian|AUT
556|COLO, Zeno|ITA
557|SCHNEIDER, Othmar|AUT
558|MINUZZO CHENAL, Giuliana|ITA
559|BUCHNER, Mirl|FRG
560|SPIESS, Toni|AUT
561|ERIKSEN, Stein|NOR
562|MEAD LAWRENCE, Andrea|USA
563|ROM, Dagmar|AUT
564|BERGE, Guttorm|NOR
565|REICHERT, Ossi|FRG
566|RANTANEN, Siiri|FIN
567|WIDEMAN, Lydia|FIN
568|HIETAMIES, Mirja|FIN
569|LONKILA, Paavo|FIN
570|BRENDEN, Hallgeir|NOR
571|MAKELA, Tapio|FIN
572|ANDERSSON, Sigurd|SWE
573|JOSEFSSON, Enar|SWE
574|KORHONEN, Urpo|FIN
575|ESTENSTAD, Magnar|NOR
576|KIRKHOLT, Mikal|NOR
577|STOKKEN, Martin|NOR
578|HAKULINEN, Veikko|FIN
579|KOLEHMAINEN, Eero|FIN
580|STENERSEN, Sverre|NOR
581|SLATTVIK, Simon|NOR
582|HOLMSTROM, Karl|SWE
583|BERGMANN, Arnfinn|NOR
584|FALKANGER, Torbjorn|NOR
585|BUTLER, Charles|USA
586|DODGE, William L.|USA
587|LAMY, James Ernest|USA
588|TYLER, Arthur W.|USA
589|ALT, Robert|SUI
590|ANGST, Heinrich|SUI
591|DIENER, Gottfried|SUI
592|KAPUS, Franz|SUI
593|ALVERA, Renzo|ITA
594|GIRARDI, Ulrico|ITA
595|MOCELLINI, Renato|ITA
596|MONTI, Eugenio|ITA
597|ANGST, Max|SUI
598|WARBURTON, Harry|SUI
599|CONTI, Giacomo|ITA
600|DALLA COSTA, Lamberto|ITA
601|BRODEUR, Denis|CAN
602|BROOKER, Charles|CAN
603|COLVIN, William|CAN
604|HORNE, Alfred James|CAN
605|HURST, Arthur|CAN
606|KLINCK, Byrle|CAN
607|KNOX, Paul|CAN
608|LAUFMAN, Kenneth|CAN
609|LEE, Howard Stewart|CAN
610|LOGAN, James|CAN
611|MARTIN, Floyd|CAN
612|MCKENZIE, John A.|CAN
613|ROPE, Donald|CAN
614|SCHOLES, George|CAN
615|THEBERGE, Gerry|CAN
616|WHITE, Robert|CAN
617|WOODALL, Keith Eugene|CAN
618|BABICH, Evgeniy|URS
619|BOBROV, Vsevolod|URS
620|GURYSHEV, Aleksey|URS
621|KHLYSTOV, Nikolai|URS
622|KOUZINE, Valentin|URS
623|KRYLOV, Yuri|URS
624|KUCHEVSKIY, Alfred|URS
625|MKRTCHAN, Grigori|URS
626|NIKIFOROV, Viktor|URS
627|PANTJUKHOV, Yuri|URS
628|PUCHKOV, Nikolai|URS
629|SHUVALOV, Viktor|URS
630|SIDORENKOV, Genrikh|URS
631|SOLOGUBOV, Nikolai|URS
632|TREGUBOV, Ivan|URS
633|UKOLOV, Dimitri|URS
634|UVAROV, Aleksandr|URS
635|ANDERSON, Wendell Richard|USA
636|BURTNETT, Wellington Parker|USA
637|CAMPBELL, Eugene Edward|USA
638|CHRISTIAN, Gordon Eugene|USA
639|CLEARY, William John|USA
640|DOUGHERTY, Richard Leo|USA
641|IKOLA, Willard John|USA
642|MATCHEFTS, John Peter|USA
643|MAYASICH, John Edward|USA
644|MCKINNON, Daniel Duncan|USA
645|MEREDITH, Richard Otis|USA
646|OLSON, Weldon Howard|USA
647|PETTROSKE, John Edward|USA
648|PURPUR, Kenneth Richard|USA
649|RIGAZIO, Donald Edmund|USA
650|RODENHEISER, Richard Peter|USA
651|SAMPSON, Edward Horace|USA
652|JENKINS, David|USA
653|JENKINS, Hayes|USA
654|ROBERTSON, Ronald|USA
655|WENDL, Ingrid|AUT
656|HEISS, Carol|USA
657|OPPELT, Kurt|AUT
658|SCHWARZ, Elisabeth|AUT
659|BOWDEN, Norris|CAN
660|DAFOE, Frances|CAN
661|GONCHARENKO, Oleg|URS
662|ERICSSON, Sigvard|SWE
663|JOHANNESEN, Knut|NOR
664|SALONEN, Toivo|FIN
665|GRISHIN, Yevgeny|URS
666|MIKHAILOV, Yury|URS
667|SHILKOV, Boris|URS
668|GJESTVANG, Alv|NOR
669|GRACH, Rafael|URS
670|MOLTERER, Andreas|AUT
671|SAILER, Anton|AUT
672|FELLAY, Raymond|SUI
673|WHEELER, Lucile|CAN
674|BERTHOD, Madeleine|SUI
675|DANZER, Frieda|SUI
676|SCHUSTER, Walter|AUT
677|HOCHLEITNER, Dorothea|AUT
678|REICHERT, Ossi|EUA
679|FRANDL, Josefine|AUT
680|SOLLANDER, Stig|SWE
681|IGAYA, Chiharu|JPN
682|SIDOROVA, Yevgeniya|URS
683|COLLIARD, Renee|SUI
684|SCHOPF, Regina|AUT
685|EDSTROM, Sonja|SWE
686|BARANOVA, Lyubov|URS
687|YEROSHINA, Radya|URS
688|KOLCHIN, Pavel|URS
689|JERNBERG, Sixten|SWE
690|ERIKSSON, Anna Lisa|SWE
691|JOHANSSON, Irma|SWE
692|POLKUNEN, Sirkka|FIN
693|KOLCHINA, Alevtina|URS
694|LARSSON, Lennart|SWE
695|LARSSON, Per-Erik|SWE
696|SAMUELSSON, Gunnar|SWE
697|ANIKIN, Nikolay|URS
698|KOUZINE, Vladimir|URS
699|TERENTYEV, Fyodor|URS
700|KORTELAINEN, Jorma|FIN
701|VIITANEN, Arvo|FIN
702|GASIENICA-GRON, Franciszek|POL
703|ERIKSSON, Bengt|SWE
704|GLASS, Harry|EUA
705|HYVARINEN, Antti|FIN
706|KALLAKORPI, Aulis|FIN
707|PRIVALOV, Aleksandr|URS
708|LESTANDER, Klas|SWE
709|TYRVAINEN, Antti|FIN
710|ALEKSANDROV, Veniamin|URS
711|ALMETOV, Aleksandr|URS
712|BAULIN, Yuri|URS
713|BYCHKOV, Mikhail|URS
714|GREBENNIKOV, Vladimir|URS
715|GROSHEV, Evgeni|URS
716|KARPOV, Nikolai|URS
717|LOKTEV, Konstantin|URS
718|PETUKHOV, Stanislav|URS
719|PRYAZHNIKOV, Viktor|URS
720|TSITSINOV, Yuri|URS
721|YAKUSHEV, Viktor|URS
722|YERKIN, Evgeni|URS
723|CHRISTIAN, Roger Allen|USA
724|CHRISTIAN, William David|USA
725|CLEARY, Robert Barry|USA
726|GRAZIA, Eugene|USA
727|JOHNSON, Paul Herbert|USA
728|KIRRANE, John J.|USA
729|MCCARTAN, John|USA
730|MCVEY, Robert|USA
731|OWEN, Edwyn|USA
732|PAAVOLA, Rodney|USA
733|PALMER, Lawrence|USA
734|WILLIAMS, Thomas|USA
735|ATTERSLEY, Robert|CAN
736|BENOIT, Maurice|CAN
737|CONNELLY, James|CAN
738|DOUGLAS, Jack|CAN
739|ETCHER, Fred|CAN
740|FORHAN, Robert|CAN
741|HEAD, Donald Charles|CAN
742|HURLEY, Harold|CAN
743|MCKNIGHT, Robert|CAN
744|PENNINGTON, Clifford|CAN
745|ROUSSEAU, Robert|CAN
746|SAMOLENKO, George|CAN
747|SINDEN, Harry|CAN
748|SLY, Darryl Hayward|CAN
749|JACKSON, Donald|CAN
750|DIVIN, Karol|TCH
751|ROLES, Barbara|USA
752|DIJKSTRA, Sjoukje|NED
753|LUDINGTON, Nancy|USA
754|LUDINGTON, Ronald|USA
755|PAUL, Robert|CAN
756|WAGNER, Barbara|CAN
757|BAUMLER, Hans Jurgen|EUA
758|KILIUS, Marika|EUA
759|BACKMAN, Kjell|SWE
760|KOSICHKIN, Viktor|URS
761|RYLOVA, Tamara|URS
762|GUSEVA, Klara|URS
763|HAASE, Helga|EUA
764|STENIN, Boris|URS
765|PILEJCZYK, Helena|POL
766|SKOBLIKOVA, Lidiya|URS
767|SEROCZYNSKA, Elwira|POL
768|HUTTUNEN, Eevi|FIN
769|STENINA, Valentina|URS
770|PESMAN, Janis|NED
771|DISNEY, William|USA
772|ASHWORTH, Jeanne|USA
773|DONCHENKO, Natalya|URS
774|PERILLAT, Guy|FRA
775|VUARNET, Jean|FRA
776|LANIG, Hanspeter|EUA
777|HECHER, Traudl|AUT
778|BIEBL, Heidi|EUA
779|PITOU, Penelope|USA
780|HINTERSEER, Ernst|AUT
781|STAUB, Roger|SUI
782|STIEGLER, Josef|AUT
783|RUEGG, Yvonne|SUI
784|BOZON, Charles|FRA
785|LEITNER, Matthias|AUT
786|HENNEBERGER, Barbi|EUA
787|HEGGTVEIT, Anne|CAN
788|SNITE, Betsy|USA
789|GUSAKOVA, Mariya|URS
790|BRUSVEEN, Haakon|NOR
